id,company_name,review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
1201,HSBC,23/4/2018,Flexibility of time,"when I graduated in 2010, I was offered the position in HSBC which is very related to what I studied - French. My day job would be confirming the trade from the system with the confirmation letter regarding the trade that have been booked the day before. Every once in a week we would have a confra call between the KL offshore and Paris Onshore. outside work, I joined the committee that bring the staffs closer, I organized the fun activities such as pictionary, memory games and a lot more.",4,Executive of Paris Derivatives Confirmation,Kuala Lumpur,former,3,5,4,4,5,flexibility of time,Malaysian Public holiday,10,180,https://malaysia.indeed.com/cmp/HSBC/reviews?start=180
1202,Cimb-Group,21/4/2018,Productive and Fun,The day at work is very nature with overall on the other person work in weekday. I learned many thing in my previous in term of the discipline and need to be careful on what we do in working. Systematic on management is the one of key point on becoming successful company.,5,SL1M Apprentice Trainee,Kuala Lumpur,current,5,5,5,5,5,Good colleague,,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1203,HSBC,21/4/2018,Great place to learn new products and services where your ideas are valued,Great Organisation to work for where your ideas are valued and team work is promoted. At time the bureaucracy in the organisation for getting things done makes you feel disappointed but I can see that is changing now.,3,"Vice President, HSBC Securities Services (HSS)",Malaysia,current,3,3,3,3,3,Promote innovation,Too much bureaucracy,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1204,RHB Bank Berhad,21/4/2018,Many Paper To do at bank after banking hours,"This issue we already told HQ, but they never change it. They always say need to paper less at your job, but everytime we want to paper less there is not gonna happen, Example Doing a FD placement to customer there already using 6 paper in that FD placement, 2 is the placement paper then GMPC then Product Disclosure Sheet already in 6 pages at FD, how we want to paper less, and that is many issue in the bank, that why I'm not continue work at bank already.",3,Teller,Kuala Lumpur,current,3,3,2,2,2,Na,Na,9,160,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews?start=160
1205,Cimb-Group,20/4/2018,Pin drop silent working place,Not a happy working environment. There are more grouping culture in this department. Cant get things done immediately even is urgent matter. I became demotivated to continue my target since mostly not willing to help.,3,Marketing Executive,Kuala Lumpur,former,3,5,4,4,2,medical,office culture,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1206,HSBC,19/4/2018,Less Benefits compared to other banks,'- Work place politics -no bonus or increment despise worker achieve the target set by management. Management reason is that market is not performing well.,2,Software Engineer,Kuala Lumpur,former,1,1,2,2,2,Training are provided,No bonus or increment,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1207,maybank,19/4/2018,Top Malaysia Bank,The bank provide good career opportunity and training platform. Good benefits for those who willing to work hard. I wish to recommend graduate to grab the opportunity to work with Maybank,4,"Team Leader, HR recruitment",Kuala Lumpur,former,3,5,3,2,2,Good benefits & perks,Culture,10,180,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=180
1208,Ocbc,18/4/2018,great culture,'-work life balance -a place have many learning opportunities -can gain soft skills through participate in events as a committee -have many learning courses -benefits for employee are satisffied,4,Manager,kl,current,4,3,3,3,4,,,4,60,https://malaysia.indeed.com/cmp/Ocbc-3/reviews?start=60
1209,HSBC,17/4/2018,Productive and fun workplace with gym facilities,"A good place to work. The company provide gym facilities, games room, a cozy cafeteria and etc. The odd timing work make it a little bit hard to cope.",4,Global Suppoer Executive,Malaysia,former,4,3,3,3,4,,,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1210,RHB Bank Berhad,16/4/2018,"Productive , team building & enjoy with the commission earned","When I was looking for a new job , Rhb was at the top of my list . Rhb provides great opportunities to work on banking sector. I would encourage leadership to continue getting delegating to Director and Manager level employees to avoid slowing things down. We also have work to do to ensure that our sales aren't going dropped. I've had a lot of jobs before that I worked really hard, but didn't feel like I had an impact. I've been able to use my skills to get ahead here. When I've wanted to take on different responsibilities, I've been able to do those with help from my Leadership and teams. I feel like I've been here for a good amount of time and I've had opportunities to advance myself and learn about my potential. management is helpful, the work is interesting and growth is tremendous. I have worked at RHB for almost 6 years, and play the role as a sales executive and promote to be a assistant sales manager. The growth opportunity for these 6 years with the fun, hard working environment, and the ability to make as much money as you want is like no other job I have ever had.",4,Assistant sales manager,MALAYSIA,current,3,4,4,4,4,Flexible lunch hour and able to claim mileage & phone bill every month,Working hour more than 8hours & one day off day only,9,160,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews?start=160
1211,bank islam,15/4/2018,Productive and fun workplace with management team,manage the day-to-day collections to ensure losses are minimised by the effective implementation of collections strategy. the hardest part is we have to give full commitment in terms of time. the environment of work is very good. the management always make an event to foster team spirit among employees.,5,Collection Officer,Kuala Lumpur,former,5,4,4,4,5,,,3,40,https://malaysia.indeed.com/cmp/Bank-Islam/reviews?start=40
1212,HSBC,14/4/2018,Good place to build and advance in carrier,"A typical day at work in my opinion is like any other, however things tend to get out of hand at times when we need to face urgent requests and face cut off times. In HSBC everything is computerized so it makes learning as well as working easier for everyone. Work culture is excellent. The toughest part working in HSBC is that, one has to comply with its high standards however the most enjoyable part of the job is the joy of working with different people.",4,Global support executive,Malaysia,current,3,4,4,4,4,Free gym,stress level at work,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1213,Bank-Rakyat,11/4/2018,Productive work place with faster disburse loan,"The work surrounding is good, I mean the employees, the employer and the computer system is good. I have learnt how to attend customers when they want make a loan, how to prepare all loan's document, how to attract customer to make loan with bank rakyat, how to calculate how much loan that customers want, how to key in in the system and how to blast sms about loan to customers. The hardest job is when customers argue the rate of personal loan or other loan, because they will compare to other bank and then they do not want to make it loan and they will go other bank. We can not make something because we only can pursue and slowly talk about advantage of bank rakyat for example, bank rakyat can approve personal loan in one day and customers will get the money by that day. The quality of process is very effective that we can use as our strong argue when customers want to switch at other bank. Several bank make their loan in 2 weeks. Only bank rakyat can make within 3 hours or one day by typical.",5,ISLAMIC BANKING,Jelutong,current,5,5,5,5,5,Boss treat all staff lunch every week on friday,There are several people there are lazy to work,2,20,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews?start=20
1214,Cimb-Group,8/4/2018,Good Company,'-High Performance Working Culture -High comm if you are committed to your sales target and KPI -Must be able to well handel your work stress management -,4,anonymously,Kajang,former,4,4,4,4,4,good comm and challenging working environment,n/a,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1215,Cimb-Group,8/4/2018,answering call,good benefit like salary and insentif. the culture also good but lacking in term of the smoothness of the system and procedure available. the hardest part is too keep up with the new terms that we learnt through answering call from customer and dealing with their emotional respond.,3,Inbound Call centre agent,Bangsar,former,4,4,3,3,4,,short break.,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1216,RHB Bank Berhad,6/4/2018,Great customer service,"I've have been in many call center before This is the best so far Dont listen what people say, but follow what you like to do Bieng a customer service, you are been given a task to listen and solve people problem. It might sound strees, but here you have a family of whole ccc to help you to beat stress and change stress into happiness to your customer. Take care your attitude, your mc and put effort then you may get get permanent faster.",5,Customer service agent,Menara AA kuala lumpur,current,5,5,5,4,5,Best workplace ever,Difficult to be absorb into permanent,10,180,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews?start=180
1217,Cimb-Group,5/4/2018,Good and strong company,"If I have a chances to join this company for permanent jobs or position, I feel very thankful and glad because CIMB is the great company to work with.",5,SL1M TRAINEE,Glenmarie Industrial Park,current,5,4,5,4,5,,,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1218,HSBC,5/4/2018,Fun place to work,"To advance in career is difficult as some area u have to take the Team Manager's heart and win it-not fair. Benefits very good. Salary very good. Company provides transportation to certain areas, fees borne by company. Events, birthdays all are celebrated in a family-friendly environment.",3,Customer Service Exec,Kuala Lumpur,former,3,5,2,2,3,"Good salary, good benefits","No free food for staffs, difficult to climb up another position, as it depends on how u are holding the Managers heart.",11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1219,HSBC,4/4/2018,Best Training Modules and Facilitators,"I had the best time getting trained under the best facilitators from UK. The products and services offered varies in different countries around the world, where as I managed HSBC UK. Got some really insightful knowledge to the banking industry in UK",5,"Assistant Manager, Training","Cyberjaya, Malaysia",former,4,4,4,4,4,Various knowledge and information in the banking industry,Graveyard shift,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1220,Cimb-Group,2/4/2018,Great working environment.,"Its been an honour for me, given this opportunity to work with cimb bank.. 😍😍. As a personal financial consultant, i learn so many great things in very exciting different ways of selling and promoting products to clients. The products offer to puclic is affordable and acceptable in the market. In incentive wise, I believe, cimb provides the best payout among other banks. Thanks cimb! I grown up so quick and happy to be as cimbians!",5,Sales executive,Keningau,current,5,5,5,5,5,,,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1221,RHB Bank Berhad,2/4/2018,Good job,This job will build your communication skill. Day by day you will learn how to deal with a lot of customers and you may learn how to use Microsoft Office perfectly,4,Telecollector / Admin,RHB Ampang Point,former,4,4,4,4,4,,,10,180,https://malaysia.indeed.com/cmp/Rhb-Bank-Berhad/reviews?start=180
1222,HSBC,31/3/2018,Excellent environment,Great place to work.Excellent environment.Right place to start your career.More opportunity to move to next level in your career.Good growth.9 years of great experience in the bank made me confident person,3,Assistant Manager,Malaysia,former,3,3,3,3,4,Free transport,Nil,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1223,Public-Bank-Berhad,28/3/2018,Provides a stable income,"I was in charge of the Bank's operational aspect. Daily movement of physical cash, accounts, staff training & annual leaves, compliances & reporting.",4,Assistant Branch Manager,Ipoh,former,3,3,3,3,3,Generous staff loans for housing & vehicles,Too tied up with paper work,11,200,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews?start=200
1224,Cimb-Group,27/3/2018,Fun work place with good friends.,Fun work place with good friends and willing to give hand when needed. Always help each others. My managers encourage me and help me find solutions to problems as a team. He also encourage me to grow and welcome my feedback and ideas. I am treated as an important member of the team.,4,Executive Officer,Kuala Lumpur,current,3,3,4,4,4,,,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1225,Cimb-Group,26/3/2018,Productive and fun environment,This company is okay but Im still young and need to gain more experience especially in my related degree field. I have been working here for almost 5 years and its time for me to make a move for my future,4,Customer Service Representative,Usj9,current,4,4,4,4,4,,,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1226,Cimb-Group,26/3/2018,Fun workplace,"Best place to work in terms of cultural, management, paying and benefits. A good benefit received in terms of medical, hospitalization where can covered to all your family members",5,Assistant sales manager,Setiawangsa,former,5,5,5,4,4,Fun workplace,Poor leadership,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1227,HSBC,26/3/2018,Fun workplace,most of the colleague are very helpful. I can learn alot from the department that i currently working with. Business partner also very helpful in term of giving of instructions.,4,Global Support Executive,Kuala Lumpur,current,3,3,4,4,4,,,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1228,HSBC,21/3/2018,fun work culture,"The thing that keep me inside the company is because of the work culture is fantastic. Most of the team mates work together to make sure all the work done by the end of the day. The hardest part of the job is in my department, there is no work life balance. Over time almost everyday. The most hardest part is the working hour where the shift keep changing.",3,executive,Cyberjaya,current,3,1,3,1,4,"gym, insurance",,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1229,maybank,21/3/2018,Productive,frendly working culture grow working experience high benefit and meet expected salary increase practical training and high supervision able to work in various department,5,Sales Executive,"Maybank Auto Finance Centre Juru, Penang",former,5,5,5,5,5,,,10,180,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews?start=180
1230,Bank-Rakyat,20/3/2018,work culture at my previous company,"I learn a lot about the real work culture which is in my previous company that i work they teach me how to attend customer,how to calculate the eligibility the customer to make personal loan,how to build a good relationship ,how to achieve sales target,how to market the product.",5,Marketing Executive,George Town,former,4,4,4,4,4,Flexible time,the benefit,2,20,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews?start=20
1231,Bank-Rakyat,19/3/2018,Productive and fun working environment,"As an internship student, the staffs being very helpful in teaching me knowledge and skills in doing the task given. I was assigned to three units at the branch and learned all the skills and experience there really helped me in viewing my future in this field.",5,IIUCS internship program,"Setapak, KL, Malaysia",former,5,5,5,5,5,,,2,20,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews?start=20
1232,Cimb-Group,19/3/2018,no worklife balance,"CIMB's ethos is reflected in its promise to enable the dreams, ambitions and aspirations of all of our customers. Through our product and service solutions, digital innovations, extensive network and world-class advice, we advance the peoples, businesses and corporations of the ASEAN region towards their goals and enable them to move forward toward their true potentia",2,"Data Entry, photocopying",Malaysia,former,2,1,2,2,2,,,10,180,https://malaysia.indeed.com/cmp/Cimb-Group/reviews?start=180
1233,HSBC,18/3/2018,not a hard place to work at,"its an Operation centre, the workplace culture is not as demanding as the actual Bank/Branches, but it is also not a good place to grow as a fresh graduate",3,Officer,Cyberjaya,former,3,2,2,2,3,easy going culture,low compensation,11,200,https://malaysia.indeed.com/cmp/HSBC/reviews?start=200
1234,Public-Bank-Berhad,16/3/2018,Productive and good benefits,"This company is very good on their benefits Medical, they have cola allowance, and also bonus every years. Daily working quite busy due to the have to achieve time for attending customer.Workplace culture was very good. The hardest part on this job is only when the bank is full waiting about 300 person before and after holiday( in seri petaling branch).Enjoyable part is when they have trip under company.",5,FRONTLINE TELLER,SERI PETALING,former,4,5,5,5,5,Increament,Healthcare,11,200,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews?start=200
